dataset,n,n_noise,full_dip,full_auc_dir,k,added,dip,auc_dir,features
duplicate,16072,1461,0.0013706824196537191,0.5741623131775442,1,grad_norm_slope,0.05879974197978929,0.5221969739450241,grad_norm_slope
duplicate,16072,1461,0.0013706824196537191,0.5741623131775442,2,grad_norm_last,0.01446091129458412,0.5587932422811969,grad_norm_slope+grad_norm_last
duplicate,16072,1461,0.0013706824196537191,0.5741623131775442,3,loss_curvature,0.010180159129701756,0.5290941852244784,grad_norm_slope+grad_norm_last+loss_curvature
duplicate,16072,1461,0.0013706824196537191,0.5741623131775442,4,text_nn_sim,0.016621676779274685,0.6916750625893845,grad_norm_slope+grad_norm_last+loss_curvature+text_nn_sim
duplicate,16072,1461,0.0013706824196537191,0.5741623131775442,5,cos_ref_mean,0.01181753445626653,0.6803058893820023,grad_norm_slope+grad_norm_last+loss_curvature+text_nn_sim+cos_ref_mean
duplicate,16072,1461,0.0013706824196537191,0.5741623131775442,6,grad_norm_std,0.011694838914355504,0.6767318894829082,grad_norm_slope+grad_norm_last+loss_curvature+text_nn_sim+cos_ref_mean+grad_norm_std
garbled,14611,1461,0.0020138245364270803,0.9262757161483749,1,grad_norm_last,0.05975425024407698,0.6746723037244661,grad_norm_last
garbled,14611,1461,0.0020138245364270803,0.9262757161483749,2,cos_ref_std,0.0087272766335377,0.6386627732971063,grad_norm_last+cos_ref_std
garbled,14611,1461,0.0020138245364270803,0.9262757161483749,3,text_nn_sim,0.0022447176089779386,0.5713694198723204,grad_norm_last+cos_ref_std+text_nn_sim
garbled,14611,1461,0.0020138245364270803,0.9262757161483749,4,loss_slope,0.002409475955676165,0.6202900248020133,grad_norm_last+cos_ref_std+text_nn_sim+loss_slope
garbled,14611,1461,0.0020138245364270803,0.9262757161483749,5,loss_curvature,0.002099221872266093,0.8642708390263454,grad_norm_last+cos_ref_std+text_nn_sim+loss_slope+loss_curvature
garbled,14611,1461,0.0020138245364270803,0.9262757161483749,6,loss_last,0.0030122483972391616,0.9421410930062487,grad_norm_last+cos_ref_std+text_nn_sim+loss_slope+loss_curvature+loss_last
keyword,14611,1461,0.0012898031481054322,0.5776218694940441,1,grad_norm_last,0.06674864288285635,0.5536376199436295,grad_norm_last
keyword,14611,1461,0.0012898031481054322,0.5776218694940441,2,grad_norm_slope,0.010172125554052098,0.5725726428327907,grad_norm_last+grad_norm_slope
keyword,14611,1461,0.0012898031481054322,0.5776218694940441,3,text_nn_sim,0.00474521504595088,0.5499382942564991,grad_norm_last+grad_norm_slope+text_nn_sim
keyword,14611,1461,0.0012898031481054322,0.5776218694940441,4,loss_slope,0.00501518794973784,0.5715258052846767,grad_norm_last+grad_norm_slope+text_nn_sim+loss_slope
keyword,14611,1461,0.0012898031481054322,0.5776218694940441,5,loss_std,0.003884981685658077,0.5681330304000334,grad_norm_last+grad_norm_slope+text_nn_sim+loss_slope+loss_std
keyword,14611,1461,0.0012898031481054322,0.5776218694940441,6,grad_norm_std,0.0024374054185532065,0.5603230247525655,grad_norm_last+grad_norm_slope+text_nn_sim+loss_slope+loss_std+grad_norm_std
mixed,14819,1400,0.0018367254669794633,0.7223508245238628,1,grad_norm_last,0.05503054691008026,0.5811071721333291,grad_norm_last
mixed,14819,1400,0.0018367254669794633,0.7223508245238628,2,grad_norm_slope,0.012753720934703039,0.5982980156068687,grad_norm_last+grad_norm_slope
mixed,14819,1400,0.0018367254669794633,0.7223508245238628,3,text_nn_sim,0.006821933705137963,0.7022400008516708,grad_norm_last+grad_norm_slope+text_nn_sim
mixed,14819,1400,0.0018367254669794633,0.7223508245238628,4,loss_curvature,0.007969804542957976,0.7623671659587152,grad_norm_last+grad_norm_slope+text_nn_sim+loss_curvature
mixed,14819,1400,0.0018367254669794633,0.7223508245238628,5,loss_min,0.004680554525464772,0.7630401456357191,grad_norm_last+grad_norm_slope+text_nn_sim+loss_curvature+loss_min
mixed,14819,1400,0.0018367254669794633,0.7223508245238628,6,loss_std,0.0030168886799121063,0.7702779108513516,grad_norm_last+grad_norm_slope+text_nn_sim+loss_curvature+loss_min+loss_std
near_duplicate,14611,1461,0.0014964890944887067,0.5934037575180289,1,grad_norm_last,0.06292064846510143,0.541744390919288,grad_norm_last
near_duplicate,14611,1461,0.0014964890944887067,0.5934037575180289,2,loss_mean,0.009382560882866941,0.6013618725650174,grad_norm_last+loss_mean
near_duplicate,14611,1461,0.0014964890944887067,0.5934037575180289,3,text_nn_sim,0.005086502919837789,0.5949727125803201,grad_norm_last+loss_mean+text_nn_sim
near_duplicate,14611,1461,0.0014964890944887067,0.5934037575180289,4,loss_slope,0.004767121059597407,0.6134951059615921,grad_norm_last+loss_mean+text_nn_sim+loss_slope
near_duplicate,14611,1461,0.0014964890944887067,0.5934037575180289,5,cos_ref_std,0.0024519680024526363,0.5952110513399074,grad_norm_last+loss_mean+text_nn_sim+loss_slope+cos_ref_std
near_duplicate,14611,1461,0.0014964890944887067,0.5934037575180289,6,loss_curvature,0.001935321100514281,0.6011412049145983,grad_norm_last+loss_mean+text_nn_sim+loss_slope+cos_ref_std+loss_curvature
template,14611,1461,0.0012389846802316803,0.5751199631483203,1,loss_last,0.07654359218790319,0.835475389271893,loss_last
template,14611,1461,0.0012389846802316803,0.5751199631483203,2,loss_min,0.06729678620631548,0.8293687328071038,loss_last+loss_min
template,14611,1461,0.0012389846802316803,0.5751199631483203,3,cos_ref_slope,0.04915372861635374,0.7747816355795681,loss_last+loss_min+cos_ref_slope
template,14611,1461,0.0012389846802316803,0.5751199631483203,4,loss_mean,0.024350588396875348,0.7750424080594832,loss_last+loss_min+cos_ref_slope+loss_mean
template,14611,1461,0.0012389846802316803,0.5751199631483203,5,loss_std,0.01531863731512449,0.771858953839107,loss_last+loss_min+cos_ref_slope+loss_mean+loss_std
template,14611,1461,0.0012389846802316803,0.5751199631483203,6,loss_rank,0.006271181580901664,0.760416923665493,loss_last+loss_min+cos_ref_slope+loss_mean+loss_std+loss_rank
truncation,14611,1461,0.0011852509448275457,0.5570233419997241,1,grad_norm_last,0.07286830849161276,0.5438655746493755,grad_norm_last
truncation,14611,1461,0.0011852509448275457,0.5570233419997241,2,loss_last,0.009265710434287214,0.5735889528241243,grad_norm_last+loss_last
truncation,14611,1461,0.0011852509448275457,0.5570233419997241,3,loss_min,0.03864607833555683,0.5748077648779548,grad_norm_last+loss_last+loss_min
truncation,14611,1461,0.0011852509448275457,0.5570233419997241,4,cos_ref_std,0.007933678257738507,0.5680848837844801,grad_norm_last+loss_last+loss_min+cos_ref_std
truncation,14611,1461,0.0011852509448275457,0.5570233419997241,5,cos_ref_slope,0.0042455976838717945,0.5453015409519497,grad_norm_last+loss_last+loss_min+cos_ref_std+cos_ref_slope
truncation,14611,1461,0.0011852509448275457,0.5570233419997241,6,loss_curvature,0.003935852887860856,0.5085640597226234,grad_norm_last+loss_last+loss_min+cos_ref_std+cos_ref_slope+loss_curvature
unrelated,14611,1461,0.0017987010967269621,0.6266288260293617,1,grad_norm_last,0.048880078663489916,0.5327524509229836,grad_norm_last
unrelated,14611,1461,0.0017987010967269621,0.6266288260293617,2,loss_mean,0.014275030447324125,0.5458516095283453,grad_norm_last+loss_mean
unrelated,14611,1461,0.0017987010967269621,0.6266288260293617,3,loss_rank,0.0035752645986752234,0.5463554833790076,grad_norm_last+loss_mean+loss_rank
unrelated,14611,1461,0.0017987010967269621,0.6266288260293617,4,grad_norm_std,0.006237922798021139,0.5134667384962119,grad_norm_last+loss_mean+loss_rank+grad_norm_std
unrelated,14611,1461,0.0017987010967269621,0.6266288260293617,5,update_contrib_mean,0.005244235980030008,0.5010225300135591,grad_norm_last+loss_mean+loss_rank+grad_norm_std+update_contrib_mean
unrelated,14611,1461,0.0017987010967269621,0.6266288260293617,6,grad_norm_slope,0.0018061312731672008,0.5118044050249451,grad_norm_last+loss_mean+loss_rank+grad_norm_std+update_contrib_mean+grad_norm_slope
