dataset,n,n_noise,all19_sup,all19_lf,free9_sup,free9_lf,costly10_sup,costly10_lf,sup_delta,lf_delta
duplicate,16072,1461,0.9841794769779325,0.5327433959140514,0.967512896975833,0.5740605408684099,0.9096084115410781,0.523305015568938,-0.01666658000209953,0.04131714495435845
garbled,14611,1461,0.9956991799460237,0.9323445319758591,0.9878926356498361,0.9740588637919234,0.9750810294527161,0.6244046605923855,-0.007806544296187656,0.04171433181606432
keyword,14611,1461,0.6759175573790543,0.5900625906002192,0.6694485000377365,0.6065094484479874,0.6209066658338602,0.5379822143799626,-0.006469057341317863,0.016446857847768226
mixed,14819,1400,0.8379079503475882,0.7141681304759775,0.8081343883406258,0.7439462169844463,0.6884311424100157,0.596882245856089,-0.029773562006962462,0.029778086508468804
near_duplicate,14611,1461,0.6963892640854875,0.6074913010777034,0.6612070746897146,0.6268482965206914,0.6145100105922553,0.5119418701186489,-0.03518218939577289,0.019356995442987968
template,14611,1461,0.994047985259328,0.5509355277779947,0.9852462374070574,0.3696718482835081,0.9768762215577121,0.7001325723565558,-0.008801747852270614,-0.18126367949448663
truncation,14611,1461,0.7866108426178224,0.5726686497867235,0.7444894767113519,0.5696382757786088,0.7372982721871316,0.5881798237053115,-0.04212136590647053,-0.003030374008114678
unrelated,14611,1461,0.9436495134589308,0.6391792173182076,0.921536553691284,0.7347275552189629,0.7087145374151254,0.5387328331290355,-0.022112959767646823,0.09554833790075534
