tag,dataset,epoch,loss_mean,loss_std,loss_n,grad_norm_mean,grad_norm_std,grad_norm_n,cos_sim_ref_mean,cos_sim_ref_std,cos_sim_ref_n,cos_sim_global_mean,cos_sim_global_std,cos_sim_global_n,update_contrib_mean,update_contrib_std,update_contrib_n,tokens_mean,tokens_std,tokens_n
dolly-ratio10,clean,0,1.6089177791746518,0.8902342562313613,14611,3.8522582089222692,4.956201906983766,14611,0.0026507920937719966,0.05010757173210489,14611,0.011102370258315517,0.04990172815159524,13697,0.2127068100495012,0.43216779392824495,14611,80.64608856341113,109.68711425600495,14611
dolly-ratio10,clean,1,1.324817792991825,0.8061074759402991,14611,4.070876324035245,3.613924315472782,14611,-0.0007046505176073307,0.005427265831502761,14611,0.0034925625567570665,0.02564459139741964,13697,0.19303000064021802,0.17232351732609041,14611,80.64608856341113,109.68711425600495,14611
dolly-ratio10,clean,2,1.017401042330622,0.7658378638421001,14611,4.73742998775127,3.799586380757027,14611,-0.0004822877448057147,0.0042513203889582695,14611,0.0023176934720447596,0.020337256079914653,13697,0.20948051943876186,0.16796306060562874,14611,80.64608856341113,109.68711425600495,14611
dolly-ratio10,clean,3,0.7619370671515356,0.719980451972355,14611,4.8192646642631445,4.182738677928859,14611,-0.0006661353862755128,0.00428979591775127,14611,0.002151912494566994,0.015973452307727568,13697,0.19901365594976142,0.17233762492757326,14611,80.64608856341113,109.68711425600495,14611
dolly-ratio10,clean,4,0.6122488151022646,0.6898453915358845,14611,4.212474737988961,3.6346391469878565,14611,-0.00027826801522443155,0.0030713626515969216,14611,0.003066725643427441,0.014397644764558149,13697,0.17362979722778352,0.14912209138342544,14611,80.64608856341113,109.68711425600495,14611
dolly-ratio10,cleaning_loop_random_garbled,0,1.9130224215773823,1.2831910686355614,13150,4.226072687557668,4.971799636030001,13150,0.002992185140906016,0.05051973111029337,13150,0.012377268895311214,0.05214819502619921,12328,0.23733087592976904,0.4937965490101198,13150,87.93536121673004,120.67327446793723,13150
dolly-ratio10,cleaning_loop_random_garbled,1,1.582757088407537,1.1373962612642683,13150,4.3003189154037145,3.910535592601634,13150,-0.0006699551957121124,0.005515358959078364,13150,0.003345577339542703,0.022057880527013518,12328,0.20137841934724668,0.18267648120689625,13150,87.93536121673004,120.67327446793723,13150
dolly-ratio10,cleaning_loop_random_garbled,2,1.250405918915652,1.0843839754499112,13150,5.091112437734798,4.471907961532609,13150,-0.0004941531886754049,0.004329491818665341,13150,0.002477743621611654,0.0175674131287123,12328,0.2085085544574587,0.18277390010179925,13150,87.93536121673004,120.67327446793723,13150
dolly-ratio10,cleaning_loop_random_garbled,3,0.9740648039293537,1.0277262119568702,13150,5.192098542082326,4.483505739321472,13150,-0.0005762698289843185,0.004499470071700047,13150,0.0018619350922275044,0.012926268785899602,12328,0.19673917724697293,0.17068452535899903,13150,87.93536121673004,120.67327446793723,13150
dolly-ratio10,cleaning_loop_random_garbled,4,0.8069621801581909,0.9929241207436335,13150,4.5950799139595135,3.6684042889890978,13150,-0.0003912066745655392,0.0038724049172222668,13150,0.00201441082080419,0.011351678126978402,12328,0.17855258088267315,0.14259469161373456,13150,87.93536121673004,120.67327446793723,13150
dolly-ratio10,cleaning_loop_random_mixed_pooled,0,1.6930794758869825,1.0273695867817687,13337,4.075706507265958,6.889264555437197,13337,0.0028696242586899175,0.05172714088084021,13337,0.01191361619939493,0.05200077745748685,12503,0.20104626022150635,0.5075769927761007,13337,80.13023918422434,110.45701905030194,13337
dolly-ratio10,cleaning_loop_random_mixed_pooled,1,1.3779023551684786,0.8887182214227398,13337,4.10190519977054,3.3893470934589165,13337,-0.0008050231744797719,0.005769550773805383,13337,0.003925436242608563,0.02607129232255574,12503,0.17077052778954097,0.14167103503196535,13337,80.13023918422434,110.45701905030194,13337
dolly-ratio10,cleaning_loop_random_mixed_pooled,2,1.0461907435457711,0.8345624312616519,13337,4.8219853315451235,4.135504730344213,13337,-0.000515579336985063,0.004274616422955781,13337,0.0030802903008656703,0.018961027154474393,12503,0.19919274110665044,0.1703871540444846,13337,80.13023918422434,110.45701905030194,13337
dolly-ratio10,cleaning_loop_random_mixed_pooled,3,0.7777275406899177,0.7779798882506699,13337,4.866010254592274,4.2840142192813655,13337,-0.0005924465247703446,0.003938107593440299,13337,0.0017351816277264745,0.012785358437297058,12503,0.19292859684532357,0.17016213642471534,13337,80.13023918422434,110.45701905030194,13337
dolly-ratio10,cleaning_loop_random_mixed_pooled,4,0.621092625903321,0.7398171568771726,13337,4.250525140043817,3.435566617606316,13337,-0.00036919808487196373,0.0032408717605097266,13337,0.0023002177069347675,0.011361683013174998,12503,0.17310605857472217,0.13913468319942063,13337,80.13023918422434,110.45701905030194,13337
dolly-ratio10,cleaning_loop_random_template,0,1.4900269737349194,0.9645473602077328,13150,4.6699646954613065,15.258380153747986,13150,0.0022426053854582894,0.051654828343972996,13150,0.01476345686419614,0.08901665286538042,12328,0.17191722384096034,0.6822346383754878,13150,73.86844106463879,106.30156057817453,13150
dolly-ratio10,cleaning_loop_random_template,1,1.2078308542924951,0.8454286922271269,13150,3.7586399060962883,3.251180230829415,13150,-0.0010864524302687992,0.006390969701719247,13150,0.0031276961624538426,0.029307923061861946,12328,0.08271885129633504,0.07420422443591199,13150,73.86844106463879,106.30156057817453,13150
