step,clean,duplicate,garbled,keyword,mixed,unrelated
914,7.06622838973999,,7.207131385803223,7.115784168243408,,12.203627586364746
925,,,,,7.220773696899414,
959,,7.189745903015137,,,,
1828,6.247968673706055,,6.416598320007324,6.287780284881592,,6.2962775230407715
1850,,,,,6.587820529937744,
1918,,6.48682975769043,,,,
2742,5.350177764892578,,5.577700614929199,5.3897786140441895,,5.407564163208008
2775,,,,,5.827250957489014,
2877,,5.6206841468811035,,,,
3656,4.542686939239502,,4.732596397399902,4.542470455169678,,4.576904773712158
3700,,,,,4.71735143661499,
3836,,4.823007583618164,,,,
4570,4.3640055656433105,,4.57636022567749,4.406182289123535,,4.36445951461792
4625,,,,,4.428001403808594,
4795,,4.061131954193115,,,,
