category,n,n_noise,rf_auc
closed_qa,637,15,0.9929
summarization,524,32,0.9759
information_extraction,488,20,0.9485
open_qa,1315,47,0.9311
brainstorming,763,31,0.871
general_qa,784,34,0.8706
classification,689,21,0.7098
