noise_type,loss_mean,loss_last,loss_std,loss_slope,converge_epoch,loss_rank,loss_curvature,grad_norm_mean,grad_norm_cv,cos_ref_mean,cos_ref_trend,cos_global_mean,update_contrib_mean,max_token_loss,frac_hard,user_loss,entropy,token_loss_skew,text_nn_sim
garbled,0.9566,0.8656,0.8043,0.1841,0.9406,0.9353,0.9859,0.8358,0.1638,0.6009,0.4184,0.5383,0.8439,0.8121,0.9508,0.9026,0.9703,0.059,0.3774
duplicate,0.3828,0.3824,0.5295,0.474,0.4609,0.3701,0.4446,0.3395,0.5733,0.4653,0.3672,0.6006,0.3382,0.3841,0.3745,0.4585,0.4141,0.6145,0.9627
unrelated,0.7328,0.5661,0.8403,0.1542,0.7352,0.7026,0.8456,0.7669,0.4392,0.6093,0.4253,0.5069,0.7575,0.6134,0.6184,0.4932,0.6159,0.5272,0.7686
keyword,0.6576,0.5957,0.6602,0.3316,0.6383,0.6471,0.7032,0.6376,0.4248,0.573,0.4235,0.4929,0.6396,0.6316,0.6669,0.5165,0.6767,0.367,0.4697
mixed,0.6479,0.5684,0.7066,0.2881,0.6608,0.628,0.711,0.5956,0.4174,0.5238,0.4302,0.544,0.5939,0.5987,0.5937,0.5976,0.6044,0.4931,0.7163
