layer,clean,duplicate,garbled,keyword,mixed,unrelated
0,2.132389783859253,2.7552084922790527,2.443084239959717,2.214263677597046,2.3635149002075195,2.4943671226501465
18,3.2081542015075684,3.5687334537506104,3.0608975887298584,3.164196729660034,3.3126180171966553,3.0539748668670654
35,3.823028087615967,3.8009188175201416,4.290259838104248,3.8297383785247803,3.842778205871582,3.6704866886138916
