layer,clean,mixed,near_duplicate,template,truncation
0,2.132389783859253,2.34436297416687,2.102701425552368,2.4468750953674316,2.22397518157959
18,3.2081542015075684,3.4079055786132812,3.0103530883789062,3.23057222366333,3.2239105701446533
35,3.823028087615967,3.7782416343688965,3.661447525024414,3.879937171936035,3.837151288986206
