step,mixed,near_duplicate,template,truncation
914,,7.394924640655518,6.5355401039123535,7.268017292022705
927,7.402420997619629,,,
1828,,6.5561041831970215,5.800240993499756,6.297479152679443
1854,6.786503314971924,,,
2742,,5.642255783081055,4.910109043121338,5.415238857269287
2781,5.7652788162231445,,,
3656,,4.7445855140686035,4.149478435516357,4.613030433654785
3708,4.696526050567627,,,
4570,,4.578207492828369,3.9814205169677734,4.4072794914245605
4635,4.432399272918701,,,
