dataset,baseline,n,n_noise,auc
wild,el2n_proxy,68762,6073,0.7600591546385204
wild,grand_proxy,68762,6073,0.8046210160688142
wild,tracin_proxy,68762,6073,0.6040446497300808
wild,loss_rank,68762,6073,0.5446573382279702
