dataset,signal,n,n_noise,raw_auc,length_auc,residual_auc,stratified_auc
wild,pooled_detector,68762,6073,0.700316223650762,0.7992831410073471,0.657205023009924,0.5893301221344207
wild,text_nn_sim,68762,6073,0.5072732955263356,0.7992831410073471,0.5330652968916152,0.5541361898349182
wild,loss_mean,68762,6073,0.6135947145133297,0.7992831410073471,0.6049059844577831,0.6329033946686289
wild,loss_last,68762,6073,0.6660938514095405,0.7992831410073471,0.6045031348337815,0.6090367773070846
wild,loss_std,68762,6073,0.802970556375574,0.7992831410073471,0.7503229470045041,0.5877211902856307
wild,loss_slope,68762,6073,0.8015051612854065,0.7992831410073471,0.748121196732433,0.5867635846860505
wild,loss_min,68762,6073,0.6703987389130166,0.7992831410073471,0.6094124898334441,0.6101275012735019
wild,converge_epoch,68762,6073,0.6818050865590326,0.7992831410073471,0.601758768557815,0.606371566790165
wild,loss_curvature,68762,6073,0.7610058653076043,0.7992831410073471,0.7182454484544715,0.6401608779528276
wild,loss_rank,68762,6073,0.5446573382279702,0.7992831410073471,0.5457220021028221,0.6260332144764629
wild,grad_norm_mean,68762,6073,0.7902883146866921,0.7992831410073471,0.7423661645799929,0.5916481707707385
wild,grad_norm_last,68762,6073,0.6271977193198953,0.7992831410073471,0.5268850766072135,0.5714268336743247
wild,grad_norm_std,68762,6073,0.7621878848209878,0.7992831410073471,0.7249672340751003,0.5645103597307243
wild,grad_norm_slope,68762,6073,0.5753929739389213,0.7992831410073471,0.5869015384157051,0.5519754298951376
wild,cos_ref_mean,68762,6073,0.6040446497300808,0.7992831410073471,0.5807245896477553,0.5671457844387818
wild,cos_ref_last,68762,6073,0.5615279089758899,0.7992831410073471,0.545320109899733,0.5267493400878424
wild,cos_ref_std,68762,6073,0.556740804412758,0.7992831410073471,0.507165841117242,0.5183434642654541
wild,cos_ref_slope,68762,6073,0.6561012086310868,0.7992831410073471,0.6152703166838694,0.5707899498526249
wild,grad_norm_cv,68762,6073,0.6329409183277226,0.7992831410073471,0.5884769357840616,0.5259558413120395
wild,update_contrib_mean,68762,6073,0.7870784067602984,0.7992831410073471,0.7200672930577446,0.5792994307056253
