train_type,test_type,auc,auc_dir,within_type_auc,retention,p_at_10,random_p,is_diagonal
duplicate,duplicate,0.9859612570379741,0.9859612570379741,0.9859612570379741,1.0,,0.08944723618090453,True
garbled,duplicate,0.48008904432373434,0.5199109556762657,0.9859612570379741,0.48692485723629586,0.04,0.08944723618090453,False
keyword,duplicate,0.6184301907383981,0.6184301907383981,0.9859612570379741,0.6272357928102437,0.11,0.08944723618090453,False
near_duplicate,duplicate,0.5978681449512613,0.5978681449512613,0.9859612570379741,0.6063809715478856,0.05,0.08944723618090453,False
template,duplicate,0.8959185951335665,0.8959185951335665,0.9859612570379741,0.9086752534527434,0.31,0.08944723618090453,False
truncation,duplicate,0.7312238013741101,0.7312238013741101,0.9859612570379741,0.7416354305552061,0.21,0.08944723618090453,False
unrelated,duplicate,0.8708981323015105,0.8708981323015105,0.9859612570379741,0.8832985333702296,0.38,0.08944723618090453,False
duplicate,garbled,0.7205630970336853,0.7205630970336853,0.9979458450046685,0.722046292031322,0.18888888888888888,0.09402654867256637,False
garbled,garbled,0.9979458450046685,0.9979458450046685,0.9979458450046685,1.0,,0.09402654867256637,True
keyword,garbled,0.9835523953171013,0.9835523953171013,0.9979458450046685,0.9855769230769231,0.8222222222222222,0.09402654867256637,False
near_duplicate,garbled,0.975465057817999,0.975465057817999,0.9979458450046685,0.9774729387379087,0.7555555555555555,0.09402654867256637,False
template,garbled,0.4029806794512677,0.5970193205487323,0.9979458450046685,0.4038101681252879,0.022222222222222223,0.09402654867256637,False
truncation,garbled,0.9567047331753213,0.9567047331753213,0.9979458450046685,0.9586739981575311,0.5888888888888889,0.09402654867256637,False
unrelated,garbled,0.9346477052359405,0.9346477052359405,0.9979458450046685,0.9365715684016582,0.5666666666666667,0.09402654867256637,False
duplicate,keyword,0.46188932395828947,0.5381106760417105,0.5773300773300772,0.8000437567610275,0.08791208791208792,0.09602649006622517,False
garbled,keyword,0.5511066200721373,0.5511066200721373,0.5773300773300772,0.9545780511224826,0.0989010989010989,0.09602649006622517,False
keyword,keyword,0.5773300773300772,0.5773300773300772,0.5773300773300772,1.0,,0.09602649006622517,True
near_duplicate,keyword,0.7292043843767981,0.7292043843767981,0.5773300773300772,1.2630632163650288,0.25274725274725274,0.09602649006622517,False
template,keyword,0.48383225969432875,0.5161677403056713,0.5773300773300772,0.838051365575584,0.06593406593406594,0.09602649006622517,False
truncation,keyword,0.6617686272858687,0.6617686272858687,0.5773300773300772,1.146256973733789,0.21978021978021978,0.09602649006622517,False
unrelated,keyword,0.6492147699044251,0.6492147699044251,0.5773300773300772,1.1245122944343833,0.23076923076923078,0.09602649006622517,False
duplicate,near_duplicate,0.5259146983284915,0.5259146983284915,0.6741470534573983,0.7801186634745498,0.13186813186813187,0.09602649006622517,False
garbled,near_duplicate,0.583568411154618,0.583568411154618,0.6741470534573983,0.8656396377641302,0.12087912087912088,0.09602649006622517,False
keyword,near_duplicate,0.7932508104921899,0.7932508104921899,0.6741470534573983,1.1766732590819196,0.4065934065934066,0.09602649006622517,False
near_duplicate,near_duplicate,0.6741470534573983,0.6741470534573983,0.6741470534573983,1.0,,0.09602649006622517,True
template,near_duplicate,0.47178364419743735,0.5282163558025627,0.6741470534573983,0.6998230456958467,0.0989010989010989,0.09602649006622517,False
truncation,near_duplicate,0.7039914108879626,0.7039914108879626,0.6741470534573983,1.0442698032684499,0.25274725274725274,0.09602649006622517,False
unrelated,near_duplicate,0.6701261701261702,0.6701261701261702,0.6741470534573983,0.9940355990423649,0.24175824175824176,0.09602649006622517,False
duplicate,template,0.724594052180259,0.724594052180259,0.9992351199247751,0.725148703975505,0.26373626373626374,0.09602649006622517,False
garbled,template,0.5803124078986148,0.5803124078986148,0.9992351199247751,0.5807566170635617,0.08791208791208792,0.09602649006622517,False
keyword,template,0.6283384559246629,0.6283384559246629,0.9992351199247751,0.6288194273755767,0.07692307692307693,0.09602649006622517,False
