condition,dataset,method,n,n_noise,auc,p_at_10,random_p
no_text,truncation,zscore_mean,14611,1461,0.5792362125009434,0.19164955509924708,0.0999931558414893
no_text,truncation,iforest,14611,1461,0.5843369430282399,0.17659137577002054,0.0999931558414893
no_text,unrelated,zscore_max,14611,1461,0.5024039475019714,0.10882956878850103,0.0999931558414893
no_text,unrelated,zscore_mean,14611,1461,0.5311255117204476,0.15742642026009582,0.0999931558414893
no_text,unrelated,iforest,14611,1461,0.5707265974916914,0.18138261464750172,0.0999931558414893
text_only,duplicate,zscore_max,16072,1461,0.9384558838237587,0.4505289359054138,0.09090343454454952
text_only,duplicate,zscore_mean,16072,1461,0.9384558838237587,0.4505289359054138,0.09090343454454952
text_only,duplicate,iforest,16072,1461,0.5254944904523988,0.0,0.09090343454454952
text_only,garbled,zscore_max,14611,1461,0.550608000666245,0.03490759753593429,0.0999931558414893
text_only,garbled,zscore_mean,14611,1461,0.550608000666245,0.03490759753593429,0.0999931558414893
text_only,garbled,iforest,14611,1461,0.5659225021665977,0.044490075290896644,0.0999931558414893
text_only,keyword,zscore_max,14611,1461,0.5308806146110664,0.07939767282683094,0.0999931558414893
text_only,keyword,zscore_mean,14611,1461,0.5308806146110664,0.07939767282683094,0.0999931558414893
text_only,keyword,iforest,14611,1461,0.5309780529508671,0.08487337440109514,0.0999931558414893
text_only,mixed,zscore_max,14819,1400,0.6572757177988566,0.2550607287449393,0.0944733112895607
text_only,mixed,zscore_mean,14819,1400,0.6572757177988566,0.2550607287449393,0.0944733112895607
text_only,mixed,iforest,14819,1400,0.6456041274099624,0.19095816464237517,0.0944733112895607
text_only,near_duplicate,zscore_max,14611,1461,0.5045983401128973,0.09787816563997262,0.0999931558414893
text_only,near_duplicate,zscore_mean,14611,1461,0.5045983401128973,0.09787816563997262,0.0999931558414893
text_only,near_duplicate,iforest,14611,1461,0.5003038702071345,0.0971937029431896,0.0999931558414893
text_only,template,zscore_max,14611,1461,0.7955340760924728,0.24503764544832307,0.0999931558414893
text_only,template,zscore_mean,14611,1461,0.7955340760924728,0.24503764544832307,0.0999931558414893
text_only,template,iforest,14611,1461,0.8054834831083455,0.20191649555099248,0.0999931558414893
text_only,truncation,zscore_max,14611,1461,0.5013267905986576,0.10335386721423682,0.0999931558414893
text_only,truncation,zscore_mean,14611,1461,0.5013267905986576,0.10335386721423682,0.0999931558414893
text_only,truncation,iforest,14611,1461,0.5064271047227926,0.09514031485284052,0.0999931558414893
text_only,unrelated,zscore_max,14611,1461,0.783257990386292,0.3162217659137577,0.0999931558414893
text_only,unrelated,zscore_mean,14611,1461,0.783257990386292,0.3162217659137577,0.0999931558414893
text_only,unrelated,iforest,14611,1461,0.7835745088394583,0.24435318275154005,0.0999931558414893
token_only,duplicate,zscore_max,1993,178,0.5356548116507258,0.07035175879396985,0.08931259407927747
token_only,duplicate,zscore_mean,1993,178,0.5333054755935247,0.05025125628140704,0.08931259407927747
token_only,duplicate,iforest,1993,178,0.5229764447333396,0.10050251256281408,0.08931259407927747
token_only,garbled,zscore_max,1812,171,0.663347124667244,0.04419889502762431,0.09437086092715231
token_only,garbled,zscore_mean,1812,171,0.7926738438621437,0.24861878453038674,0.09437086092715231
token_only,garbled,iforest,1812,171,0.9124660116673972,0.4972375690607735,0.09437086092715231
token_only,keyword,zscore_max,1815,174,0.5166389992085005,0.08791208791208792,0.09586776859504133
token_only,keyword,zscore_mean,1815,174,0.5258323001814145,0.07692307692307693,0.09586776859504133
token_only,keyword,iforest,1815,174,0.5143065274188012,0.07142857142857142,0.09586776859504133
token_only,mixed,zscore_max,1840,185,0.597806809830979,0.059782608695652176,0.10054347826086957
token_only,mixed,zscore_mean,1840,185,0.6165918184045074,0.125,0.10054347826086957
token_only,mixed,iforest,1840,185,0.6080705478892791,0.22826086956521738,0.10054347826086957
token_only,near_duplicate,zscore_max,1815,174,0.5427322140270511,0.08791208791208792,0.09586776859504133
token_only,near_duplicate,zscore_mean,1815,174,0.560139948307382,0.08241758241758242,0.09586776859504133
token_only,near_duplicate,iforest,1815,174,0.6414402487969908,0.17032967032967034,0.09586776859504133
token_only,template,zscore_max,1815,174,0.8799512492382693,0.0,0.09586776859504133
token_only,template,zscore_mean,1815,174,0.8107791016131178,0.0,0.09586776859504133
token_only,template,iforest,1815,174,0.9278264584953105,0.0,0.09586776859504133
token_only,truncation,zscore_max,1814,173,0.6121883949234395,0.1712707182320442,0.09536934950385888
token_only,truncation,zscore_mean,1814,173,0.5652833990270982,0.11049723756906077,0.09536934950385888
token_only,truncation,iforest,1814,173,0.5301927134518991,0.08287292817679558,0.09536934950385888
token_only,unrelated,zscore_max,1811,170,0.5542513531920994,0.07734806629834254,0.09387078961899503
token_only,unrelated,zscore_mean,1811,170,0.5606767752804961,0.07734806629834254,0.09387078961899503
token_only,unrelated,iforest,1811,170,0.6593361293329032,0.16574585635359115,0.09387078961899503
