dataset,route,n,n_noise,full_auc,full_auc_dir,k,added,auc,auc_dir,features
duplicate,rf,16072,1461,0.9837548440222834,0.9837548440222834,1,text_nn_sim,0.9378066725251915,0.9378066725251915,text_nn_sim
duplicate,rf,16072,1461,0.9837548440222834,0.9837548440222834,2,converge_epoch,0.9415605365351816,0.9415605365351816,text_nn_sim+converge_epoch
duplicate,rf,16072,1461,0.9837548440222834,0.9837548440222834,3,cos_ref_mean,0.9452411572745933,0.9452411572745933,text_nn_sim+converge_epoch+cos_ref_mean
duplicate,rf,16072,1461,0.9837548440222834,0.9837548440222834,4,cos_ref_slope,0.96603491476493,0.96603491476493,text_nn_sim+converge_epoch+cos_ref_mean+cos_ref_slope
duplicate,rf,16072,1461,0.9837548440222834,0.9837548440222834,5,cos_ref_last,0.9738726474024919,0.9738726474024919,text_nn_sim+converge_epoch+cos_ref_mean+cos_ref_slope+cos_ref_last
duplicate,rf,16072,1461,0.9837548440222834,0.9837548440222834,6,loss_mean,0.977138824128596,0.977138824128596,text_nn_sim+converge_epoch+cos_ref_mean+cos_ref_slope+cos_ref_last+loss_mean
duplicate,iforest,16072,1461,0.5277548428979862,0.5277548428979862,1,grad_norm_cv,0.6452392272312624,0.6452392272312624,grad_norm_cv
duplicate,iforest,16072,1461,0.5277548428979862,0.5277548428979862,2,cos_ref_last,0.717869053212091,0.717869053212091,grad_norm_cv+cos_ref_last
duplicate,iforest,16072,1461,0.5277548428979862,0.5277548428979862,3,text_nn_sim,0.7440898161591567,0.7440898161591567,grad_norm_cv+cos_ref_last+text_nn_sim
duplicate,iforest,16072,1461,0.5277548428979862,0.5277548428979862,4,loss_rank,0.7634275152317661,0.7634275152317661,grad_norm_cv+cos_ref_last+text_nn_sim+loss_rank
duplicate,iforest,16072,1461,0.5277548428979862,0.5277548428979862,5,loss_slope,0.7682318240628715,0.7682318240628715,grad_norm_cv+cos_ref_last+text_nn_sim+loss_rank+loss_slope
duplicate,iforest,16072,1461,0.5277548428979862,0.5277548428979862,6,loss_mean,0.7461185399821827,0.7461185399821827,grad_norm_cv+cos_ref_last+text_nn_sim+loss_rank+loss_slope+loss_mean
garbled,rf,14611,1461,0.9957252832192129,0.9957252832192129,1,loss_curvature,0.963127890423508,0.963127890423508,loss_curvature
garbled,rf,14611,1461,0.9957252832192129,0.9957252832192129,2,grad_norm_mean,0.9828329728843467,0.9828329728843467,loss_curvature+grad_norm_mean
garbled,rf,14611,1461,0.9957252832192129,0.9957252832192129,3,grad_norm_slope,0.9900432278532074,0.9900432278532074,loss_curvature+grad_norm_mean+grad_norm_slope
garbled,rf,14611,1461,0.9957252832192129,0.9957252832192129,4,loss_std,0.9928188412020518,0.9928188412020518,loss_curvature+grad_norm_mean+grad_norm_slope+loss_std
garbled,rf,14611,1461,0.9957252832192129,0.9957252832192129,5,grad_norm_std,0.993950651020318,0.993950651020318,loss_curvature+grad_norm_mean+grad_norm_slope+loss_std+grad_norm_std
garbled,rf,14611,1461,0.9957252832192129,0.9957252832192129,6,cos_ref_std,0.9947441592950295,0.9947441592950295,loss_curvature+grad_norm_mean+grad_norm_slope+loss_std+grad_norm_std+cos_ref_std
garbled,iforest,14611,1461,0.931732211126813,0.931732211126813,1,loss_curvature,0.9584076482850696,0.9584076482850696,loss_curvature
garbled,iforest,14611,1461,0.931732211126813,0.931732211126813,2,loss_mean,0.9756949378388154,0.9756949378388154,loss_curvature+loss_mean
garbled,iforest,14611,1461,0.931732211126813,0.931732211126813,3,loss_last,0.9771919852801482,0.9771919852801482,loss_curvature+loss_mean+loss_last
garbled,iforest,14611,1461,0.931732211126813,0.931732211126813,4,loss_slope,0.9772751097612709,0.9772751097612709,loss_curvature+loss_mean+loss_last+loss_slope
garbled,iforest,14611,1461,0.931732211126813,0.931732211126813,5,loss_min,0.9777850995333682,0.9777850995333682,loss_curvature+loss_mean+loss_last+loss_slope+loss_min
garbled,iforest,14611,1461,0.931732211126813,0.931732211126813,6,grad_norm_slope,0.9800987916500755,0.9800987916500755,loss_curvature+loss_mean+loss_last+loss_slope+loss_min+grad_norm_slope
keyword,rf,14611,1461,0.6721462720205704,0.6721462720205704,1,converge_epoch,0.6429886295911701,0.6429886295911701,converge_epoch
keyword,rf,14611,1461,0.6721462720205704,0.6721462720205704,2,loss_slope,0.6008341856585546,0.6008341856585546,converge_epoch+loss_slope
keyword,rf,14611,1461,0.6721462720205704,0.6721462720205704,3,cos_ref_last,0.632180339004224,0.632180339004224,converge_epoch+loss_slope+cos_ref_last
keyword,rf,14611,1461,0.6721462720205704,0.6721462720205704,4,loss_std,0.6587639072149656,0.6587639072149656,converge_epoch+loss_slope+cos_ref_last+loss_std
keyword,rf,14611,1461,0.6721462720205704,0.6721462720205704,5,loss_min,0.6711018808410303,0.6711018808410303,converge_epoch+loss_slope+cos_ref_last+loss_std+loss_min
keyword,rf,14611,1461,0.6721462720205704,0.6721462720205704,6,text_nn_sim,0.6798908763464787,0.6798908763464787,converge_epoch+loss_slope+cos_ref_last+loss_std+loss_min+text_nn_sim
keyword,iforest,14611,1461,0.5885553152562311,0.5885553152562311,1,converge_epoch,0.6357604172359679,0.6357604172359679,converge_epoch
keyword,iforest,14611,1461,0.5885553152562311,0.5885553152562311,2,grad_norm_last,0.6567978596877496,0.6567978596877496,converge_epoch+grad_norm_last
keyword,iforest,14611,1461,0.5885553152562311,0.5885553152562311,3,loss_slope,0.6648371993764363,0.6648371993764363,converge_epoch+grad_norm_last+loss_slope
keyword,iforest,14611,1461,0.5885553152562311,0.5885553152562311,4,loss_min,0.6639083080238286,0.6639083080238286,converge_epoch+grad_norm_last+loss_slope+loss_min
