max_epoch,dataset,scorer,n,n_noise,auc,p_at_10,random_p
0,duplicate,memo_signed,16072,1461,0.5869144186463547,0.13939016801493467,0.09090343454454952
0,duplicate,low_loss_only,16072,1461,0.5870466640910894,0.14125700062227753,0.09090343454454952
0,garbled,memo_signed,14611,1461,0.023077791918135138,0.0,0.0999931558414893
0,garbled,low_loss_only,14611,1461,0.017206507340406976,0.002053388090349076,0.0999931558414893
0,keyword,memo_signed,14611,1461,0.3229692668441585,0.05065023956194387,0.0999931558414893
0,keyword,low_loss_only,14611,1461,0.31781648592166933,0.05475701574264202,0.0999931558414893
0,mixed,memo_signed,14819,1400,0.35384864744019673,0.1214574898785425,0.0944733112895607
0,mixed,low_loss_only,14819,1400,0.35985769112026655,0.12280701754385964,0.0944733112895607
0,near_duplicate,memo_signed,14611,1461,0.339659798617021,0.057494866529774126,0.0999931558414893
0,near_duplicate,low_loss_only,14611,1461,0.34304734243694746,0.06297056810403832,0.0999931558414893
0,template,memo_signed,14611,1461,0.9120382154001503,0.6235455167693361,0.0999931558414893
0,template,low_loss_only,14611,1461,0.931466858212121,0.6009582477754962,0.0999931558414893
0,truncation,memo_signed,14611,1461,0.270561649789326,0.0054757015742642025,0.0999931558414893
0,truncation,low_loss_only,14611,1461,0.31578844637377906,0.0054757015742642025,0.0999931558414893
0,unrelated,memo_signed,14611,1461,0.24115583107564745,0.004791238877481177,0.0999931558414893
0,unrelated,low_loss_only,14611,1461,0.22930226445244287,0.002053388090349076,0.0999931558414893
1,duplicate,memo_signed,16072,1461,0.512741963372181,0.12570006222775357,0.09090343454454952
1,duplicate,low_loss_only,16072,1461,0.6287689073392286,0.15743621655258244,0.09090343454454952
1,garbled,memo_signed,14611,1461,0.030750957076641605,0.0006844626967830253,0.0999931558414893
1,garbled,low_loss_only,14611,1461,0.019890069565353174,0.0013689253935660506,0.0999931558414893
1,keyword,memo_signed,14611,1461,0.3162605434581762,0.05065023956194387,0.0999931558414893
1,keyword,low_loss_only,14611,1461,0.3346838328870012,0.057494866529774126,0.0999931558414893
1,mixed,memo_signed,14819,1400,0.34332013243482057,0.1194331983805668,0.0944733112895607
1,mixed,low_loss_only,14819,1400,0.3761336271597841,0.1194331983805668,0.0944733112895607
1,near_duplicate,memo_signed,14611,1461,0.34045929268717967,0.0568104038329911,0.0999931558414893
1,near_duplicate,low_loss_only,14611,1461,0.3501225526554811,0.06776180698151951,0.0999931558414893
1,template,memo_signed,14611,1461,0.9131165434373559,0.6153319644079398,0.0999931558414893
1,template,low_loss_only,14611,1461,0.934026072042952,0.5626283367556468,0.0999931558414893
1,truncation,memo_signed,14611,1461,0.25371350941982024,0.006160164271047228,0.0999931558414893
1,truncation,low_loss_only,14611,1461,0.36046475797867494,0.006160164271047228,0.0999931558414893
1,unrelated,memo_signed,14611,1461,0.22817935525175473,0.004106776180698152,0.0999931558414893
1,unrelated,low_loss_only,14611,1461,0.25395861473078235,0.002053388090349076,0.0999931558414893
2,duplicate,memo_signed,16072,1461,0.5803086111178647,0.15121344119477287,0.09090343454454952
2,duplicate,low_loss_only,16072,1461,0.6525643272433439,0.16677037958929683,0.09090343454454952
2,garbled,memo_signed,14611,1461,0.02296499871175272,0.0006844626967830253,0.0999931558414893
2,garbled,low_loss_only,14611,1461,0.025978612492615367,0.0027378507871321013,0.0999931558414893
2,keyword,memo_signed,14611,1461,0.320996556866358,0.053388090349075976,0.0999931558414893
2,keyword,low_loss_only,14611,1461,0.3505816891914752,0.06023271731690623,0.0999931558414893
2,mixed,memo_signed,14819,1400,0.35524155515101186,0.12280701754385964,0.0944733112895607
2,mixed,low_loss_only,14819,1400,0.39390682720662595,0.11740890688259109,0.0944733112895607
2,near_duplicate,memo_signed,14611,1461,0.3385240589939179,0.06023271731690623,0.0999931558414893
2,near_duplicate,low_loss_only,14611,1461,0.3612401527158595,0.06844626967830253,0.0999931558414893
2,template,memo_signed,14611,1461,0.9199206231473313,0.5770020533880903,0.0999931558414893
2,template,low_loss_only,14611,1461,0.935181226463462,0.5386721423682409,0.0999931558414893
2,truncation,memo_signed,14611,1461,0.2789848611425582,0.006160164271047228,0.0999931558414893
2,truncation,low_loss_only,14611,1461,0.4044125722524548,0.007529089664613279,0.0999931558414893
2,unrelated,memo_signed,14611,1461,0.23484279479391948,0.0034223134839151265,0.0999931558414893
2,unrelated,low_loss_only,14611,1461,0.29292681974687895,0.0013689253935660506,0.0999931558414893
3,duplicate,memo_signed,16072,1461,0.6312982478626293,0.16365899191039204,0.09090343454454952
3,duplicate,low_loss_only,16072,1461,0.6616715084052215,0.1717485998755445,0.09090343454454952
3,garbled,memo_signed,14611,1461,0.01889528241243172,0.0013689253935660506,0.0999931558414893
