dataset,method,n,n_noise,auc,p_at_10,random_p
clean,zscore_max,906,0,,0.0,0.0
duplicate,zscore_max,996,90,0.608860681873927,0.09,0.09036144578313253
garbled,zscore_max,905,74,0.79051614791687,0.15555555555555556,0.08176795580110498
keyword,zscore_max,906,75,0.5466746891295627,0.10989010989010989,0.08278145695364239
mixed,zscore_max,927,96,0.6170339450461292,0.12903225806451613,0.10355987055016182
unrelated,zscore_max,906,75,0.6043481748896912,0.12087912087912088,0.08278145695364239
clean,zscore_mean,906,0,,0.0,0.0
duplicate,zscore_mean,996,90,0.5875643855776307,0.09,0.09036144578313253
garbled,zscore_mean,905,74,0.9489868930302142,0.6222222222222222,0.08176795580110498
keyword,zscore_mean,906,75,0.5481267549137585,0.14285714285714285,0.08278145695364239
mixed,zscore_mean,927,96,0.6690984757320497,0.2903225806451613,0.10355987055016182
unrelated,zscore_mean,906,75,0.6928198957079823,0.23076923076923078,0.08278145695364239
clean,iforest,906,0,,0.0,0.0
duplicate,iforest,996,90,0.625766494971793,0.11,0.09036144578313253
garbled,iforest,905,74,0.9813152502683189,0.7111111111111111,0.08176795580110498
keyword,iforest,906,75,0.5659205776173285,0.14285714285714285,0.08278145695364239
mixed,iforest,927,96,0.7317363618130767,0.3655913978494624,0.10355987055016182
unrelated,iforest,906,75,0.7781147212194144,0.23076923076923078,0.08278145695364239
