dataset,n,n_features,mean_abs_spearman,frac_pairs_over_0.7,frac_pairs_over_0.9,pca_k_for_90pct,pca_k_for_99pct,effective_dims,pc1_variance,median_vif,n_vif_over_10
duplicate,16072,19,0.32147244302391703,0.14035087719298245,0.03508771929824561,6,12,5.016483243939874,0.3179899642903052,14.915524585374085,10
garbled,14611,19,0.3227713706291346,0.1111111111111111,0.05263157894736842,6,12,4.840599190349556,0.3354674065362165,11.81488804395702,11
keyword,14611,19,0.3098476490158939,0.1111111111111111,0.03508771929824561,6,11,4.97016218414578,0.31084922719027724,14.501617814091055,11
mixed,14819,19,0.31670632387426945,0.12280701754385964,0.03508771929824561,7,12,5.086202330280826,0.3131129383065312,13.903016205761125,10
near_duplicate,14611,19,0.3120586789002431,0.12280701754385964,0.04678362573099415,7,12,5.074452730369995,0.31419823902679495,12.5736125627347,10
template,14611,19,0.3439172887066791,0.15204678362573099,0.04093567251461988,7,11,4.913339064267021,0.3284936129959947,15.501588177711893,10
truncation,14611,19,0.31902273497926387,0.12280701754385964,0.03508771929824561,7,11,4.9633121212478555,0.30975041560750943,13.863061382512216,10
unrelated,14611,19,0.30328960544786193,0.12280701754385964,0.03508771929824561,7,12,5.281619791692996,0.2922736134534798,13.61654576695653,10
__pooled__,133168,19,0.31473888253831855,0.12280701754385964,0.03508771929824561,7,12,5.075172568493426,0.31309504009729516,13.478159628641556,10
