dataset,epochs_used,n_features,n,n_noise,lr_auc,rf_auc,precision_at_base_rate,random_precision
duplicate,1,3,16072,1461,0.9379,0.922,0.447,0.0909
duplicate,2,5,16072,1461,0.9472,0.9452,0.5133,0.0909
duplicate,3,6,16072,1461,0.946,0.9449,0.5092,0.0909
duplicate,4,6,16072,1461,0.9498,0.9445,0.5264,0.0909
duplicate,5,6,16072,1461,0.957,0.9569,0.5756,0.0909
garbled,1,3,14611,1461,0.9852,0.98,0.8816,0.1
garbled,2,5,14611,1461,0.9832,0.9863,0.8919,0.1
garbled,3,6,14611,1461,0.9843,0.9869,0.8816,0.1
garbled,4,6,14611,1461,0.9845,0.9881,0.8802,0.1
garbled,5,6,14611,1461,0.9843,0.9869,0.8836,0.1
keyword,1,3,14611,1461,0.6752,0.6045,0.2272,0.1
keyword,2,5,14611,1461,0.6847,0.6651,0.2409,0.1
keyword,3,6,14611,1461,0.6876,0.6434,0.2491,0.1
keyword,4,6,14611,1461,0.702,0.6524,0.2779,0.1
keyword,5,6,14611,1461,0.7022,0.6494,0.2779,0.1
mixed,1,3,14976,1826,0.8943,0.8794,0.6358,0.1219
mixed,2,5,14976,1826,0.8923,0.9023,0.6736,0.1219
mixed,3,6,14976,1826,0.8941,0.904,0.6769,0.1219
mixed,4,6,14976,1826,0.8967,0.9061,0.6911,0.1219
mixed,5,6,14976,1826,0.8978,0.9084,0.6917,0.1219
unrelated,1,3,14611,1461,0.9036,0.8809,0.5524,0.1
unrelated,2,5,14611,1461,0.9039,0.9087,0.5496,0.1
unrelated,3,6,14611,1461,0.908,0.9109,0.5619,0.1
unrelated,4,6,14611,1461,0.9129,0.9129,0.564,0.1
unrelated,5,6,14611,1461,0.914,0.9157,0.5578,0.1
