max_epoch,dataset,method,n,n_noise,auc,p_at_10,random_p
0,clean,zscore_max,14611,0,,0.0,0.0
0,clean,zscore_mean,14611,0,,0.0,0.0
0,clean,iforest,14611,0,,0.0,0.0
0,duplicate,zscore_max,16072,1461,0.8120192605207622,0.02862476664592408,0.09090343454454952
0,duplicate,zscore_mean,16072,1461,0.5512339137095428,0.042314872433105166,0.09090343454454952
0,duplicate,iforest,16072,1461,0.6155251092781633,0.05289359054138146,0.09090343454454952
0,garbled,zscore_max,14611,1461,0.8284210512618316,0.1676933607118412,0.0999931558414893
0,garbled,zscore_mean,14611,1461,0.9050594025135135,0.39014373716632444,0.0999931558414893
0,garbled,iforest,14611,1461,0.9014615230466138,0.35523613963039014,0.0999931558414893
0,keyword,zscore_max,14611,1461,0.5161445231272919,0.11567419575633128,0.0999931558414893
0,keyword,zscore_mean,14611,1461,0.5441170821589463,0.14099931553730322,0.0999931558414893
0,keyword,iforest,14611,1461,0.5549674294652082,0.14168377823408623,0.0999931558414893
0,mixed,zscore_max,14819,1400,0.7238004748065111,0.1794871794871795,0.0944733112895607
0,mixed,zscore_mean,14819,1400,0.698439100209724,0.23751686909581646,0.0944733112895607
0,mixed,iforest,14819,1400,0.7504880074095367,0.2766531713900135,0.0944733112895607
0,near_duplicate,zscore_max,14611,1461,0.5338942804423242,0.1054072553045859,0.0999931558414893
0,near_duplicate,zscore_mean,14611,1461,0.5696048073744999,0.11909650924024641,0.0999931558414893
0,near_duplicate,iforest,14611,1461,0.5922817591992567,0.1375770020533881,0.0999931558414893
0,template,zscore_max,14611,1461,0.7178391538687758,0.10609171800136892,0.0999931558414893
0,template,zscore_mean,14611,1461,0.7978862334512276,0.0944558521560575,0.0999931558414893
0,template,iforest,14611,1461,0.7129604182769759,0.0650239561943874,0.0999931558414893
0,truncation,zscore_max,14611,1461,0.5967820363676112,0.1834360027378508,0.0999931558414893
0,truncation,zscore_mean,14611,1461,0.6011681670193081,0.22518822724161533,0.0999931558414893
0,truncation,iforest,14611,1461,0.6013504475032727,0.188911704312115,0.0999931558414893
0,unrelated,zscore_max,14611,1461,0.7522441007383348,0.1704312114989733,0.0999931558414893
0,unrelated,zscore_mean,14611,1461,0.640639335004151,0.21423682409308692,0.0999931558414893
0,unrelated,iforest,14611,1461,0.7148668420764985,0.1971252566735113,0.0999931558414893
1,clean,zscore_max,14611,0,,0.0,0.0
1,clean,zscore_mean,14611,0,,0.0,0.0
1,clean,iforest,14611,0,,0.0,0.0
1,duplicate,zscore_max,16072,1461,0.745906305484354,0.0821406347230865,0.09090343454454952
1,duplicate,zscore_mean,16072,1461,0.5767488054694805,0.06907280647168637,0.09090343454454952
1,duplicate,iforest,16072,1461,0.592601628609913,0.06782825140012445,0.09090343454454952
1,garbled,zscore_max,14611,1461,0.7452322358507507,0.14442162902121836,0.0999931558414893
1,garbled,zscore_mean,14611,1461,0.8137597301707513,0.2026009582477755,0.0999931558414893
1,garbled,iforest,14611,1461,0.8787397558315961,0.28473648186173856,0.0999931558414893
1,keyword,zscore_max,14611,1461,0.5393684725551279,0.11841204654346338,0.0999931558414893
1,keyword,zscore_mean,14611,1461,0.5489796821282367,0.1293634496919918,0.0999931558414893
1,keyword,iforest,14611,1461,0.5738556069986961,0.14168377823408623,0.0999931558414893
1,mixed,zscore_max,14819,1400,0.6894580445636784,0.14102564102564102,0.0944733112895607
1,mixed,zscore_mean,14819,1400,0.6686864041391204,0.17611336032388664,0.0944733112895607
1,mixed,iforest,14819,1400,0.7160597447116562,0.25101214574898784,0.0944733112895607
1,near_duplicate,zscore_max,14611,1461,0.5294468083998928,0.09924709103353867,0.0999931558414893
1,near_duplicate,zscore_mean,14611,1461,0.5484455930231651,0.11156741957563313,0.0999931558414893
1,near_duplicate,iforest,14611,1461,0.5885855044854428,0.12594113620807665,0.0999931558414893
1,template,zscore_max,14611,1461,0.6430224102976502,0.08555783709787816,0.0999931558414893
1,template,zscore_mean,14611,1461,0.7041321767735522,0.08487337440109514,0.0999931558414893
1,template,iforest,14611,1461,0.6642676639522386,0.07255304585900069,0.0999931558414893
1,truncation,zscore_max,14611,1461,0.6202558016671742,0.19917864476386038,0.0999931558414893
1,truncation,zscore_mean,14611,1461,0.6215571396225826,0.21971252566735114,0.0999931558414893
1,truncation,iforest,14611,1461,0.6107468971458165,0.19233401779603013,0.0999931558414893
1,unrelated,zscore_max,14611,1461,0.7121424463165237,0.16632443531827515,0.0999931558414893
1,unrelated,zscore_mean,14611,1461,0.636744455982282,0.1834360027378508,0.0999931558414893
1,unrelated,iforest,14611,1461,0.6734200492917242,0.19096509240246407,0.0999931558414893
2,clean,zscore_max,14611,0,,0.0,0.0
2,clean,zscore_mean,14611,0,,0.0,0.0
2,clean,iforest,14611,0,,0.0,0.0
2,duplicate,zscore_max,16072,1461,0.7424558377275783,0.07902924704418171,0.09090343454454952
2,duplicate,zscore_mean,16072,1461,0.5538401280461951,0.0566272557560672,0.09090343454454952
2,duplicate,iforest,16072,1461,0.560889986077923,0.05849408836341008,0.09090343454454952
2,garbled,zscore_max,14611,1461,0.7361413220279874,0.12594113620807665,0.0999931558414893
2,garbled,zscore_mean,14611,1461,0.8151168921750038,0.19575633127994524,0.0999931558414893
2,garbled,iforest,14611,1461,0.8942253730061447,0.33880903490759756,0.0999931558414893
2,keyword,zscore_max,14611,1461,0.5247159479808351,0.09856262833675565,0.0999931558414893
2,keyword,zscore_mean,14611,1461,0.5420269985399864,0.11841204654346338,0.0999931558414893
2,keyword,iforest,14611,1461,0.5685146118471904,0.1327857631759069,0.0999931558414893
2,mixed,zscore_max,14819,1400,0.6832212321548337,0.12955465587044535,0.0944733112895607
2,mixed,zscore_mean,14819,1400,0.6618465821383327,0.16396761133603238,0.0944733112895607
2,mixed,iforest,14819,1400,0.7160725197747331,0.25775978407557354,0.0944733112895607
2,near_duplicate,zscore_max,14611,1461,0.5350786351345372,0.0917180013689254,0.0999931558414893
2,near_duplicate,zscore_mean,14611,1461,0.5482999560174161,0.10198494182067078,0.0999931558414893
2,near_duplicate,iforest,14611,1461,0.5855155201265865,0.1375770020533881,0.0999931558414893
2,template,zscore_max,14611,1461,0.6529253102854183,0.08898015058179329,0.0999931558414893
2,template,zscore_mean,14611,1461,0.7135892651264955,0.08829568788501027,0.0999931558414893
2,template,iforest,14611,1461,0.5843856621981403,0.0485968514715948,0.0999931558414893
2,truncation,zscore_max,14611,1461,0.5962450064152112,0.16837782340862423,0.0999931558414893
2,truncation,zscore_mean,14611,1461,0.6068298967059907,0.20602327173169063,0.0999931558414893
2,truncation,iforest,14611,1461,0.6018858899186192,0.20396988364134155,0.0999931558414893
2,unrelated,zscore_max,14611,1461,0.695721535590759,0.12799452429842573,0.0999931558414893
2,unrelated,zscore_mean,14611,1461,0.6199684054101181,0.16563997262149213,0.0999931558414893
2,unrelated,iforest,14611,1461,0.6538756464008454,0.19370294318959616,0.0999931558414893
3,clean,zscore_max,14611,0,,0.0,0.0
3,clean,zscore_mean,14611,0,,0.0,0.0
3,clean,iforest,14611,0,,0.0,0.0
3,duplicate,zscore_max,16072,1461,0.7324706976558547,0.07716241443683883,0.09090343454454952
3,duplicate,zscore_mean,16072,1461,0.5250366673098583,0.04542626011200996,0.09090343454454952
3,duplicate,iforest,16072,1461,0.5176655413858208,0.03422526446795271,0.09090343454454952
3,garbled,zscore_max,14611,1461,0.762640776800098,0.11567419575633128,0.0999931558414893
3,garbled,zscore_mean,14611,1461,0.8432165062213235,0.22176591375770022,0.0999931558414893
3,garbled,iforest,14611,1461,0.9248314217825699,0.4750171115674196,0.0999931558414893
3,keyword,zscore_max,14611,1461,0.5234450334814167,0.09650924024640657,0.0999931558414893
3,keyword,zscore_mean,14611,1461,0.5493029671327779,0.1218343600273785,0.0999931558414893
3,keyword,iforest,14611,1461,0.5711187451690727,0.14442162902121836,0.0999931558414893
3,mixed,zscore_max,14819,1400,0.6836462691492872,0.12078272604588394,0.0944733112895607
3,mixed,zscore_mean,14819,1400,0.6672409589814017,0.17611336032388664,0.0944733112895607
3,mixed,iforest,14819,1400,0.7046617802050398,0.26450742240215924,0.0944733112895607
