noise_type,n_noise_mixed,mixed_loss_mean,mixed_loss_last,mixed_loss_std,mixed_loss_slope,mixed_converge_epoch,mixed_loss_rank,mixed_loss_curvature,mixed_grad_norm_mean,mixed_grad_norm_cv,mixed_cos_ref_mean,mixed_cos_ref_trend,mixed_update_contrib_mean,mixed_text_nn_sim,own_loss_mean,own_loss_last,own_loss_std,own_loss_slope,own_converge_epoch,own_loss_rank,own_loss_curvature,own_grad_norm_mean,own_grad_norm_cv,own_cos_ref_mean,own_cos_ref_trend,own_update_contrib_mean,own_text_nn_sim,mixed_rf_auc,mixed_lr_auc,own_rf_auc,own_lr_auc
duplicate,730,0.404,0.3554,0.5669,0.4356,0.4782,0.3834,0.4709,0.305,0.5782,0.4112,0.4238,0.3046,0.9874,0.3693,0.3719,0.516,0.4873,0.4578,0.3547,0.4319,0.3429,0.5775,0.4969,0.3693,0.33,0.9388,0.9975,0.9934,0.9809,0.9602
garbled,365,0.9617,0.8512,0.8631,0.1221,0.9446,0.9354,0.9899,0.8593,0.1646,0.6074,0.405,0.8754,0.354,0.9548,0.8651,0.7802,0.2062,0.9409,0.9362,0.9851,0.8289,0.1658,0.5834,0.4365,0.8355,0.3584,0.9974,0.9875,0.9951,0.989
keyword,366,0.6502,0.6051,0.6478,0.3449,0.6317,0.6371,0.701,0.6482,0.4243,0.5851,0.4042,0.6419,0.4632,0.6269,0.5719,0.6486,0.3433,0.6023,0.6172,0.6689,0.6393,0.4513,0.5689,0.4511,0.6355,0.472,0.7733,0.8134,0.6877,0.7061
unrelated,365,0.7137,0.6,0.8286,0.1703,0.7066,0.692,0.823,0.7796,0.4423,0.5716,0.447,0.7705,0.7864,0.7236,0.5746,0.8273,0.1666,0.7142,0.6991,0.8296,0.7637,0.4346,0.575,0.4563,0.7244,0.7252,0.9326,0.9437,0.9307,0.9159
