layer,clean,duplicate,garbled,keyword,mixed,unrelated
0,2.132389783859253,1.292572259902954,3.000545024871826,2.5696892738342285,2.0404021739959717,3.146852970123291
18,3.2081542015075684,1.6501505374908447,3.267402172088623,3.1649322509765625,3.4587035179138184,3.0676703453063965
35,3.823028087615967,1.8296400308609009,5.100856781005859,3.8615615367889404,3.6950020790100098,3.9131901264190674
