category,n,n_noise,rf_auc
information_extraction,488,32,0.9929
creative_writing,295,27,0.9913
closed_qa,650,44,0.9839
summarization,527,55,0.9679
general_qa,790,56,0.9268
classification,693,57,0.8916
open_qa,1342,102,0.8885
brainstorming,761,37,0.8836
