category,n,n_noise,rf_auc
summarization,432,46,0.9746
information_extraction,401,25,0.9539
general_qa,646,41,0.9276
open_qa,1093,71,0.9263
classification,572,50,0.9246
brainstorming,630,32,0.8901
closed_qa,528,27,0.8571
creative_writing,241,21,0.7808
