noise_type,model,auc,acc,cm,n_test
near_duplicate,LR,0.7327,0.9485,"[[255, 1], [13, 3]]",272
near_duplicate,RF,0.6866,0.9338,"[[253, 3], [15, 1]]",272
template,LR,0.9983,0.9853,"[[253, 3], [1, 15]]",272
template,RF,0.9995,0.989,"[[254, 2], [1, 15]]",272
truncation,LR,0.8875,0.9412,"[[252, 4], [12, 4]]",272
truncation,RF,0.8176,0.9338,"[[253, 3], [15, 1]]",272
mixed,LR,0.8437,0.9384,"[[254, 4], [13, 5]]",276
mixed,RF,0.9112,0.9638,"[[257, 1], [9, 9]]",276
