noise_type,loss_mean,loss_last,loss_std,loss_slope,converge_epoch,loss_rank,loss_curvature,grad_norm_mean,grad_norm_cv,cos_ref_mean,cos_ref_trend,cos_global_mean,update_contrib_mean,max_token_loss,frac_hard,user_loss,entropy,token_loss_skew,text_nn_sim,mean_loss,mean_loss_std,mean_loss_curv,frac_hard_std,frac_hard_curv,entropy_std,entropy_curv,max_token_loss_std,max_token_loss_curv,user_loss_std,token_loss_skew_std,token_loss_kurt,token_loss_kurt_std,token_loss_kurt_curv,n_hard,hard_loss_mean,hard_loss_max,hard_pos_peak,hard_pos_std_mean,hard_id_uniq,hard_pos_jaccard
near_duplicate,0.6189,0.5735,0.6024,0.3934,0.6231,0.6121,0.6456,0.5958,0.4786,0.5848,0.4346,0.4881,0.5946,0.6801,0.645,0.4948,0.5951,0.5411,0.4916,0.64,0.6495,0.5845,0.6328,0.5609,0.5566,0.5069,0.6231,0.554,0.5079,0.4263,0.5402,0.4542,0.4984,0.5234,0.611,0.6801,0.5206,0.5185,0.5227,0.5066
template,0.1006,0.2119,0.1351,0.8678,0.3779,0.1276,0.1024,0.1736,0.6107,0.13,0.7578,0.4477,0.168,0.1204,0.1385,0.4865,0.1392,0.6165,0.7332,0.1075,0.1209,0.233,0.146,0.2902,0.1294,0.2847,0.1984,0.4124,0.4822,0.1715,0.485,0.1787,0.4924,0.1136,0.0962,0.1204,0.3327,0.1136,0.131,0.8083
truncation,0.571,0.4512,0.7587,0.2416,0.5867,0.5371,0.6757,0.6856,0.5131,0.5937,0.3536,0.4516,0.6869,0.5321,0.575,0.493,0.5226,0.4908,0.5106,0.5586,0.7451,0.7416,0.7258,0.6787,0.6339,0.5851,0.7357,0.7107,0.4946,0.4972,0.4678,0.4777,0.5379,0.3917,0.5045,0.5321,0.4409,0.3513,0.3801,0.651
mixed,0.5643,0.5304,0.6237,0.3793,0.6035,0.5528,0.614,0.5696,0.4843,0.5149,0.4402,0.5373,0.5673,0.5693,0.5865,0.5287,0.5651,0.4701,0.6782,0.5765,0.6786,0.6261,0.6619,0.5625,0.6245,0.5463,0.6508,0.5205,0.4657,0.4874,0.4562,0.4689,0.5154,0.4304,0.5477,0.5693,0.501,0.4396,0.4841,0.5005
