dataset,n,n_noise,all19_sup,all19_lf,free9_sup,free9_lf,costly10_sup,costly10_lf,sup_delta,lf_delta
duplicate,15341,730,0.9857342891403831,0.6394314473145116,0.9748122309800366,0.7161043049757031,0.8843731453971158,0.5397654047475959,-0.010922058160346526,0.07667285766119147
garbled,14611,730,0.9935536206483091,0.9563129062787115,0.9853475184863908,0.9782596295517771,0.965057193581845,0.6460135219818555,-0.008206102161918305,0.021946723273065682
keyword,14611,730,0.6775308320331428,0.6113943075831455,0.6680276972662937,0.6306481807694166,0.6199136890575765,0.556967689154289,-0.009503134766849053,0.019253873186271142
mixed,14715,722,0.8401774591292481,0.7121520792054119,0.8081944118081993,0.7615298547572165,0.6684525483952898,0.5931492655706563,-0.03198304732104884,0.04937777555180456
near_duplicate,14611,730,0.6962726719187459,0.6194392058524858,0.6600498069204677,0.6258474923345501,0.6052472434479771,0.5391781216662571,-0.036222864998278204,0.006408286482064263
template,14611,730,0.9911698557109205,0.60230422386765,0.9785328422708482,0.4859217240872267,0.9561742521807182,0.6768157518950216,-0.012637013440072287,-0.11638249978042331
truncation,14611,730,0.796921434936688,0.6017383572499316,0.7518809094524594,0.6005861959730113,0.729934876982729,0.6161515740940855,-0.045040525484228544,-0.001152161276920305
unrelated,14611,730,0.95752062788102,0.722888386905132,0.938179466759037,0.8044639711520527,0.7346776366236296,0.5507975324504867,-0.01934116112198303,0.08157558424692068
