noise_type,loss_mean,loss_last,loss_std,loss_slope,converge_epoch,loss_rank,loss_curvature,grad_norm_mean,grad_norm_cv,cos_ref_mean,cos_ref_trend,cos_global_mean,update_contrib_mean,max_token_loss,frac_hard,user_loss,entropy,token_loss_skew,text_nn_sim,mean_loss,mean_loss_std,mean_loss_curv,frac_hard_std,frac_hard_curv,entropy_std,entropy_curv,max_token_loss_std,max_token_loss_curv,user_loss_std,token_loss_skew_std,token_loss_kurt,token_loss_kurt_std,token_loss_kurt_curv,n_hard,hard_loss_mean,hard_loss_max,hard_pos_peak,hard_pos_std_mean,hard_id_uniq,hard_pos_jaccard
duplicate,0.3828,0.3824,0.5295,0.474,0.4609,0.3701,0.4446,0.3395,0.5733,0.4653,0.3672,0.6006,0.3382,0.3841,0.3745,0.4585,0.4141,0.6145,0.9627,0.3721,0.5042,0.6645,0.4611,0.6353,0.5194,0.5209,0.5359,0.7044,0.491,0.628,0.6247,0.6473,0.4327,0.5329,0.4031,0.3841,0.5448,0.5347,0.5577,0.3718
garbled,0.9566,0.8656,0.8043,0.1841,0.9406,0.9353,0.9859,0.8358,0.1638,0.6009,0.4184,0.5383,0.8439,0.8121,0.9508,0.9026,0.9703,0.059,0.3774,0.941,0.7945,0.6909,0.8686,0.7229,0.8605,0.8296,0.4896,0.4727,0.3837,0.2643,0.0969,0.1669,0.565,0.621,0.8591,0.8121,0.6851,0.688,0.82,0.2469
keyword,0.6576,0.5957,0.6602,0.3316,0.6383,0.6471,0.7032,0.6376,0.4248,0.573,0.4235,0.4929,0.6396,0.6316,0.6669,0.5165,0.6767,0.367,0.4697,0.6758,0.7041,0.6042,0.7054,0.6556,0.6693,0.5708,0.6468,0.5067,0.4054,0.422,0.3738,0.4086,0.5106,0.5273,0.634,0.6316,0.505,0.5164,0.5181,0.4895
unrelated,0.7328,0.5661,0.8403,0.1542,0.7352,0.7026,0.8456,0.7669,0.4392,0.6093,0.4253,0.5069,0.7575,0.6134,0.6184,0.4932,0.6159,0.5272,0.7686,0.6188,0.6409,0.5725,0.616,0.5727,0.6258,0.5144,0.4867,0.3354,0.4415,0.611,0.5328,0.5745,0.5483,0.4068,0.5509,0.6134,0.4314,0.4285,0.4367,0.5302
mixed,0.6479,0.5684,0.7066,0.2881,0.6608,0.628,0.711,0.5956,0.4174,0.5238,0.4302,0.544,0.5939,0.5987,0.5937,0.5976,0.6044,0.4931,0.7163,0.593,0.6724,0.7037,0.6409,0.6586,0.6894,0.6562,0.5998,0.5561,0.5062,0.5831,0.5102,0.5625,0.4836,0.545,0.5855,0.5987,0.5296,0.5547,0.5807,0.3817
