dataset,noise_type,n_hard_mean,n_hard_std,n_hard_count,hard_loss_mean_mean,hard_loss_mean_std,hard_loss_mean_count,hard_loss_max_mean,hard_loss_max_std,hard_loss_max_count,hard_gradnorm_mean_mean,hard_gradnorm_mean_std,hard_gradnorm_mean_count,hard_cos_ref_mean_mean,hard_cos_ref_mean_std,hard_cos_ref_mean_count,pos_std_mean,pos_std_std,pos_std_count,loc_mismatch_frac_mean,loc_mismatch_frac_std,loc_mismatch_frac_count
duplicate,duplicate,22.1,4.66759474225924,60,1.0029305867748286,1.7869104375850047,60,2.8039058208465577,3.67543492903143,60,35.69759489216529,40.99018218486925,60,0.014188982375366543,0.015195631888941526,60,21.611119264455343,22.15975155653914,60,,,
duplicate,none,21.216666666666665,5.5175887225068205,60,2.0297303899736674,2.807495408638972,60,4.827565741539002,5.215525895862026,60,47.31042131986035,50.08655603700962,60,0.006312765702323338,0.01863500839514741,60,31.99454858839433,40.190221112766885,60,,,
garbled,garbled,23.233333333333334,2.9015873310221116,60,5.600415401476803,3.903683603711963,60,10.1169677734375,5.051466499840365,60,96.831680211592,37.84226319280562,60,0.006010291799616868,0.007088010891569016,60,43.106569320815154,58.0796834537313,60,0.0,0.0,60.0
garbled,none,21.383333333333333,5.446478155081991,60,2.144710842386766,2.8767641526044705,60,5.5509848356246945,5.2724490750820125,60,47.516260192365756,48.27905802523127,60,-6.124891194416986e-05,0.016264928884612406,60,31.670538492204173,39.82110930077624,60,,,0.0
keyword,keyword,21.3,5.109976947773802,60,1.9334762807776416,2.7182430196430314,60,5.433769226074219,5.805148512066109,60,46.40630672024684,45.6219966913281,60,-0.004157806613238998,0.014681379804617794,60,20.58215622215154,29.13854609479605,60,,,
keyword,none,21.383333333333333,5.446478155081991,60,2.12143045874562,2.8718343325952547,60,5.249894976615906,5.463405199712348,60,47.47583631341228,48.28336924074257,60,-0.003812207716723487,0.01746427765829107,60,31.895276671050706,40.08553275339662,60,,,
unrelated,none,21.383333333333333,5.446478155081991,60,2.2644360113998343,2.9280518328881486,60,5.922559992472331,5.39605128861023,60,51.860313097726475,51.1272393076657,60,-0.0020503798987130412,0.015471153267063208,60,31.160048836185638,39.04215840664517,60,,,
unrelated,unrelated,20.733333333333334,5.988312534065812,60,2.025438193358015,2.5532948068642813,60,7.002239990234375,5.709941793346656,60,58.84551111282305,51.183218558471005,60,-0.00025160795395729894,0.008798613110508573,60,26.803074452954395,36.51555521879476,60,,,
