tag,dataset,scorer,n,n_noise,auc,auc_dir,p_at_base,recall_at_base,p_at_10,random_p,lift_at_10,frac_of_supervised
ratio05,duplicate,zscore_max,15342,731,0.7088,0.7088,0.0123,0.0123,0.0287,0.0476,0.6,0.719
ratio05,duplicate,zscore_mean,15342,731,0.6241,0.6241,0.0274,0.0274,0.0482,0.0476,1.01,0.633
ratio05,duplicate,iforest,15342,731,0.6562,0.6562,0.0342,0.0342,0.0391,0.0476,0.82,0.665
ratio05,duplicate,mahalanobis,15342,731,0.7492,0.7492,0.0588,0.0588,0.0626,0.0476,1.31,0.76
ratio05,duplicate,SUPERVISED_rf,15342,731,0.986,0.986,0.6635,0.6635,0.4674,0.0476,9.81,1.0
ratio05,garbled,zscore_max,14611,731,0.8896,0.8896,0.4501,0.4501,0.3128,0.05,6.25,0.896
ratio05,garbled,zscore_mean,14611,731,0.9564,0.9564,0.4692,0.4692,0.4285,0.05,8.56,0.964
ratio05,garbled,iforest,14611,731,0.9705,0.9705,0.6033,0.6033,0.4565,0.05,9.13,0.978
ratio05,garbled,mahalanobis,14611,731,0.8731,0.8731,0.3393,0.3393,0.2676,0.05,5.35,0.88
ratio05,garbled,SUPERVISED_rf,14611,731,0.9925,0.9925,0.9097,0.9097,0.4887,0.05,9.77,1.0
ratio05,keyword,zscore_max,14611,731,0.5565,0.5565,0.0643,0.0643,0.0732,0.05,1.46,0.799
ratio05,keyword,zscore_mean,14611,731,0.5942,0.5942,0.093,0.093,0.0849,0.05,1.7,0.853
ratio05,keyword,iforest,14611,731,0.6164,0.6164,0.1176,0.1176,0.104,0.05,2.08,0.885
ratio05,keyword,mahalanobis,14611,731,0.5764,0.5764,0.0876,0.0876,0.0828,0.05,1.66,0.827
ratio05,keyword,SUPERVISED_rf,14611,731,0.6967,0.6967,0.1724,0.1724,0.1417,0.05,2.83,1.0
ratio05,mixed,zscore_max,14793,913,0.7489,0.7489,0.161,0.161,0.1359,0.0617,2.2,0.803
ratio05,mixed,zscore_mean,14793,913,0.7421,0.7421,0.2607,0.2607,0.2008,0.0617,3.25,0.796
ratio05,mixed,iforest,14793,913,0.7914,0.7914,0.2804,0.2804,0.2211,0.0617,3.58,0.849
ratio05,mixed,mahalanobis,14793,913,0.789,0.789,0.2475,0.2475,0.192,0.0617,3.11,0.846
ratio05,mixed,SUPERVISED_rf,14793,913,0.9322,0.9322,0.6922,0.6922,0.4875,0.0617,7.9,1.0
ratio05,unrelated,zscore_max,14611,731,0.6225,0.6225,0.052,0.052,0.0507,0.05,1.01,0.657
ratio05,unrelated,zscore_mean,14611,731,0.7265,0.7265,0.1696,0.1696,0.1362,0.05,2.72,0.767
ratio05,unrelated,iforest,14611,731,0.7696,0.7696,0.1874,0.1874,0.1622,0.05,3.24,0.812
ratio05,unrelated,mahalanobis,14611,731,0.6752,0.6752,0.1368,0.1368,0.091,0.05,1.82,0.712
ratio05,unrelated,SUPERVISED_rf,14611,731,0.9477,0.9477,0.5431,0.5431,0.4045,0.05,8.09,1.0
