tag,dataset,scorer,n,n_noise,n_feats,auc,p_at_10,recall_at_10,p_at_base,random_p,lift_at_10,p_two_tailed_10
ratio05,duplicate,memo_signed,15342,731,6,0.6119,0.0782,0.1642,0.0793,0.0476,1.64,0.0456
ratio05,duplicate,low_loss_only,15342,731,1,0.6172,0.0795,0.1669,0.0807,0.0476,1.67,0.0476
ratio05,duplicate,memo_plus_conc,1918,91,7,0.6184,0.0781,0.1648,0.0659,0.0474,1.65,0.0421
ratio05,duplicate,conc_only,1918,91,1,0.5071,0.0365,0.0769,0.033,0.0474,0.77,0.0316
ratio05,garbled,memo_signed,14611,731,6,0.0168,0.0,0.0,0.0,0.05,0.0,0.424
ratio05,garbled,low_loss_only,14611,731,1,0.0434,0.0,0.0,0.0,0.05,0.0,0.3747
ratio05,garbled,memo_plus_conc,1827,71,7,0.0168,0.0,0.0,0.0,0.0389,0.0,0.3352
ratio05,garbled,conc_only,1827,71,1,0.1021,0.0,0.0,0.0,0.0389,0.0,0.1209
ratio05,keyword,memo_signed,14611,731,6,0.3155,0.0075,0.015,0.0096,0.05,0.15,0.0644
ratio05,keyword,low_loss_only,14611,731,1,0.3424,0.0089,0.0178,0.0109,0.05,0.18,0.0575
ratio05,keyword,memo_plus_conc,1827,71,7,0.2901,0.0055,0.0141,0.0,0.0389,0.14,0.0604
ratio05,keyword,conc_only,1827,71,1,0.3709,0.0,0.0,0.0,0.0389,0.0,0.022
ratio05,mixed,memo_signed,14793,913,6,0.3303,0.0352,0.057,0.0307,0.0617,0.57,0.1651
ratio05,mixed,low_loss_only,14793,913,1,0.3521,0.0297,0.0482,0.0318,0.0617,0.48,0.1461
ratio05,mixed,memo_plus_conc,1850,94,7,0.3746,0.0378,0.0745,0.0213,0.0508,0.74,0.1304
ratio05,mixed,conc_only,1850,94,1,0.4125,0.0162,0.0319,0.0319,0.0508,0.32,0.0707
ratio05,unrelated,memo_signed,14611,731,6,0.2114,0.0,0.0,0.0,0.05,0.0,0.0678
ratio05,unrelated,low_loss_only,14611,731,1,0.2672,0.0,0.0,0.0,0.05,0.0,0.0349
ratio05,unrelated,memo_plus_conc,1827,71,7,0.2278,0.0,0.0,0.0,0.0389,0.0,0.044
ratio05,unrelated,conc_only,1827,71,1,0.5203,0.0383,0.0986,0.0423,0.0389,0.98,0.0495
