dataset,model,k_frac,n_dropped,precision,recall,random_precision,lift
duplicate,RF,0.0476,730,0.6644,0.6635,0.0476,13.94
duplicate,RF,0.05,767,0.6584,0.6908,0.0476,13.82
duplicate,RF,0.1,1534,0.4674,0.9808,0.0476,9.81
duplicate,RF,0.2,3068,0.2383,1.0,0.0476,5.0
garbled,RF,0.05,731,0.9097,0.9097,0.05,18.18
garbled,RF,0.1,1461,0.4887,0.9767,0.05,9.77
garbled,RF,0.2,2922,0.2481,0.9918,0.05,4.96
keyword,LR,0.05,731,0.2339,0.2339,0.05,4.68
keyword,LR,0.1,1461,0.1739,0.3475,0.05,3.47
keyword,LR,0.2,2922,0.127,0.5075,0.05,2.54
mixed,RF,0.05,740,0.7716,0.6254,0.0617,12.5
mixed,RF,0.0617,913,0.6922,0.6922,0.0617,11.22
mixed,RF,0.1,1479,0.4875,0.7897,0.0617,7.9
mixed,RF,0.2,2959,0.2721,0.8817,0.0617,4.41
unrelated,RF,0.05,731,0.5431,0.5431,0.05,10.86
unrelated,RF,0.1,1461,0.4045,0.8085,0.05,8.09
unrelated,RF,0.2,2922,0.2317,0.9261,0.05,4.63
